"id";"food";"description";"serving_size";"calories";"carbs";"protein";"fat";"sodium"
57;"Egg";"Large";"1 large";70.0;0.4;6.3;4.8;71.0
58;"Egg Whites";"Large";"1 large";17.0;0.2;3.6;0.1;54.8
59;"Turkey Bacon";"Butterball";"1 slice";25.0;0.0;2.0;2.0;135.0
60;"Low Sodium Turkey Bacon";"Butterball";"1 slice";25.0;0.0;2.0;2.0;80.0
61;"GNC Protein Powder";"GNC";"1 scoop";130.0;5.0;24.0;2.0;80.0
62;"BF Protein Powder";"Body Fortress";"1 scoop";200.0;8.0;30.0;3.0;230.0
63;"Chicken Breast";"4 oz.";"4 oz.";124.0;0.0;26.1;1.4;73.0
64;"Stew Beef";"Walmart";"4 oz.";250.0;0.0;21.0;18.0;65.0
65;"Low Fat Ground Turkey";"Foster Farms; 99% fat free";"4 oz.";120.0;0.0;26.0;1.5;85.0
66;"5 oz. Canned Chicken";"Food Club";"2 oz.";60.0;0.0;12.0;1.0;230.0
67;"Spicy Guacamole";"Wholly Guacamole";"1 package";120.0;5.0;1.0;10.0;0.0
68;"Almond Butter";"MaraNatha";"2 Tbsp";190.0;7.0;7.0;16.0;60.0
69;"Jif Peanut Butter";"Jif";"2 Tbsp";190.0;8.0;7.0;16.0;80.0
70;"Peanut Butter";"Adams";"2 Tbsp";190.0;7.0;8.0;16.0;80.0
71;"Pistachios";"Wonderful";"1/4 cup (28 g)";150.0;8.0;6.0;13.0;135.0
72;"Greek Yogurt";"Plain - The Greek Gods";"2/3 cup";140.0;11.0;7.0;9.0;110.0
73;"Nonfat Greek Yogurt";"Macy's; Food Club";"2/3 cup (170 g)";100.0;7.0;17.0;0.0;60.0
74;"Sour Cream";"Daisy";"2 Tbsp";60.0;1.0;1.0;5.0;15.0
75;"Mayonnaise";"Olive Oil - Best Foods";"1 Tbsp";60.0;1.0;0.0;6.0;125.0
76;"Almond Milk";"Blue Diamond; Unsweetened Original";"1 cup";30.0;1.0;1.0;2.5;170.0
77;"Fat Free Milk";"";"1 cup";90.0;13.0;8.0;0.0;130.0
78;"Low Fat Margarine";"I can't believe it's not butter - Original";"1 Tbsp";60.0;0.0;0.0;6.0;90.0
79;"Mozzarella Cheese";"Low-Moisture Part-Skim - Great Value";"1/4 cup";80.0;1.0;6.0;5.0;190.0
80;"Fat Free Mozzarella Cheese";"Great Value";"1/4 cup";45.0;2.0;9.0;0.0;200.0
81;"Cheddar Cheese";"Mild";"1/3 cup";110.0;1.0;7.0;9.0;170.0
82;"Parmesan Cheese";"Great Value";"1/3 cup";110.0;1.0;10.0;7.0;340.0
83;"Cotija Cheese";"La Chona";"1/4 cup (28 g)";100.0;2.0;6.0;7.0;480.0
84;"Feta Cheese";"Frigo";"1/4 cup (28 g)";80.0;1.0;5.0;6.0;320.0
85;"Goat Cheese";"Simple Truth Organic";"1 oz.";80.0;0.0;5.0;6.0;80.0
86;"String Cheese";"Galbani";"1 pack";80.0;0.0;7.0;6.0;170.0
87;"Cottage Cheese";"2% milk fat; Viva";"1/2 cup (113 g)";90.0;4.0;13.0;2.0;420.0
88;"Pinto Beans";"Bush's";"1/2 cup";100.0;18.0;6.0;0.0;0.0
89;"Low Sodium Black Beans";"Great Value; No Salt Added";"1/2 cup";120.0;22.0;7.0;0.5;10.0
90;"Black Beans";"Kroger";"1/2 cup";110.0;18.0;6.0;0.0;0.0
91;"Great Northern Beans";"Macy's; Food Clup";"1/2 cup";110.0;19.0;7.0;0.0;300.0
92;"Garbanzo Beans";"S and W - Low Sodium";"1/2 cup";120.0;20.0;7.0;2.0;140.0
93;"Avocado";"medium";"1 medium";240.0;12.8;3.0;22.0;10.5
94;"Olive Oil";"Extra Virgin; Pompeian";"1 Tbsp";120.0;0.0;0.0;14.0;0.0
95;"Nature Valley Peanut Butter Granola Bar";"Nature Valley";"1 bar";100.0;14.0;2.0;4.0;80.0
96;"Salt";"";"1 g.";0.0;0.0;0.0;0.0;400.0
97;"Black Pepper";"";"1 g.";3.0;0.6;0.1;0.0;0.2
98;"Basil";"Gourmet Garden Lightly Dried Basil";"1 tsp";0.0;0.0;0.0;0.0;25.0
99;"Ground Cumin";"McCormick";"1 tsp";10.0;0.8;0.4;0.4;4.8
100;"Onion Powder";"";"1 tsp";8.2;1.9;0.3;0.0;1.8
101;"Oregano";"";"1 tsp";3.0;0.7;0.1;0.0;0.2
102;"Garlic Powder";"";"1 tsp";10.0;2.3;0.5;0.0;1.9
103;"Chili Powder";"Great Value";"1/4 tsp";0.0;0.0;0.0;0.0;10.0
104;"Ranch Seasoning";"Badia";"1/4 tsp (0.7 g)";4.0;1.0;0.0;0.0;65.0
105;"Rosemary";"";"1 Tbsp";2.0;0.4;0.1;0.1;0.4
106;"Sage";"";"1 Tbsp";6.0;1.2;0.2;0.3;0.2
107;"Dried Thyme";"";"1 tsp";3.0;0.6;0.1;0.1;0.6
108;"Cinnamon";"";"1 tsp";6.4;2.1;0.1;0.0;0.3
109;"Chicken Broth";"Great Value";"1 cup";10.0;0.0;1.0;0.0;840.0
110;"Zucchini and Carrot Waffles";"Fit Men Cook; Liked";"1 waffle (1/5 recipe)";324.0;40.0;14.0;14.0;480.0
111;"Southern-Inspired Banana Corn Waffles";"Fit Men Cook";"1 waffle";341.0;49.0;12.0;13.0;324.0
112;"Savory Quinoa Cakes";"Fit Men Cook";"10 cakes";467.0;49.0;21.0;21.0;686.0
113;"Quick Protein Granola";"Fit Men Cook";"1/4 cup";167.0;18.0;5.0;9.0;8.0
114;"Bacon 'n' Cheddar Oat Muffins";"Fit Men Cook";"1 muffin";203.0;19.0;10.0;10.0;594.0
115;"Caprese Frittata with fat free mozzarella";"NCF w/o balsamic glaze";"1/2 recipe";242.4;10.2;31.2;8.6;942.4
116;"Caprese Frittata with low-fat mozzarella";"NCF w/o balsamic glaze";"1/2 recipe";293.0;8.7;26.7;16.1;927.4
117;"Naughty Caprese Frittata";"Fit Men Cook";"1/2 recipe";301.0;9.0;30.0;16.0;643.0
118;"Vanilla Almond Overnight Pro-Oats";"Fit Men Cook";"1 whole";451.0;47.0;33.0;13.0;165.0
119;"Slow Cooker Banana Chai Oatmeal";"Fit Men Cook";"1/5 recipe";272.0;31.0;10.0;16.0;122.0
120;"Coconut Scramble Garden Quesadillas";"Fit Men Cook";"1 quesadilla";246.0;14.0;18.0;11.0;340.0
121;"Thyme Cheeseburger Breakfast Casserole";"Fit Men Cook; Disliked";"1/4 recipe";364.0;22.0;35.0;18.0;579.0
122;"Vegan Blender Bites";"Fit Men Cook";"6 bites";275.0;41.0;10.0;12.0;308.0
123;"Banana Berry Protein Crisp";"Fit Men Cook";"1/5 recipe";304.0;58.0;7.0;7.0;27.0
124;"Juicy AF Moroccan Chicken";"Fit Men Cook";"1/4 recipe";224.0;3.0;31.0;9.0;170.0
125;"Roasted Red Pepper Hummus";"Fit Men Cook; Makes approx. 10 servings; liked";"1/4 cup";173.0;13.0;4.0;13.0;0.0
126;"Greek Turkey Burgers";"Fit Men Cook";"1/5 recipe";264.0;3.0;28.0;16.0;354.0
127;"Sweet 'n' Spicy Mustard Chicken";"Fit Men Cook";"1/4 recipe";274.0;11.0;37.0;8.0;397.0
128;"Cashew Chicken and Asparagus";"Fit Men Cook";"1/6 recipe";301.0;16.0;29.0;14.0;582.0
129;"Lean Tex-Mex Turkey Chili";"Fit Men Cook";"1/5 recipe";278.0;17.0;26.0;14.0;342.0
130;"Spicy Korean-Inspired Pulled Chicken and Potatoes";"Fit Men Cook";"1/5 recipe";291.0;38.0;28.0;3.0;568.0
131;"Peanut Butter Sweet 'n' Sour Chicken";"Fit Men Cook";"1/4 recipe";284.0;14.0;30.0;12.0;208.0
132;"Mango Chutney Turkey and ""Rice""""""";"Fit Men Cook";"1/4 recipe";292.0;20.0;32.0;10.0;157.0
133;"Pulled Chicken Mole";"Fit Men Cook";"1/5 recipe";262.0;22.0;33.0;6.0;424.0
134;"Easy Italian Purple Cabbage Rolls";"Fit Men Cook";"1/6 recipe";466.0;51.0;31.0;8.0;631.0
135;"Stuffed Chicken Parmesan";"Fit Men Cook; Makes 4 servings; pg. 135";"1 chicken breast";408.0;10.0;48.0;17.0;602.0
136;"Dijon and Tarragon Smothered Chicken";"Fit Men Cook";"1/4 recipe";363.0;21.0;38.0;13.0;393.0
137;"World's Best Chicken and Broccoli";"Fit Men Cook";"1/2 recipe";438.0;38.0;42.0;13.0;618.0
138;"Crispy Quinoa Chicken Nuggets";"Fit Men Cook";"1/4 recipe";252.0;11.0;32.0;8.0;313.0
139;"Thai Chicken and Sweet Potato";"Fit Men Cook";"1/5 recipe";362.0;23.0;28.0;18.0;228.0
140;"Roasted Red Pepper Hummus and Chicken Quesadillas";"Fit Men Cook";"1 quesadilla";374.0;31.0;30.0;15.0;341.0
141;"Three-Cheese Chicken and Broccoli Strata";"Fit Men Cook";"1/5 recipe";535.0;33.0;51.0;23.0;614.0
142;"Beef and Broccoli Bowl";"Fit Men Cook";"1/5 recipe";263.0;15.0;21.0;14.0;435.0
143;"Quick Bulgogi";"Fit Men Cook";"1/5 recipe";404.0;5.0;38.0;25.0;388.0
144;"Spicy un-Texan Black Bean Chili";"Fit Men Cook";"1/6 recipe";306.0;35.0;28.0;7.0;196.0
145;"No-Fuss Enchilada Meat Loaf Muffins";"Fit Men Cook";"2 muffins";222.0;9.0;22.0;10.0;241.0
146;"Alfredo Meatballs and Zasta";"Fit Men Cook";"1/4 recipe";344.0;14.0;37.0;16.0;436.0
147;"Basic AF Salmon";"Fit Men Cook; Disliked";"1 fillet";247.0;1.0;34.0;11.0;76.0
148;"Caribbean Cod with Pineapple Salsa";"Fit Men Cook";"1 fillet";136.0;10.0;24.0;1.0;156.0
149;"Cajun Red Beans and Shrimp";"Fit Men Cook";"1/5 recipe";242.0;19.0;34.0;5.0;435.0
150;"Green Coconut Curry Shrimp";"Fit Men Cook";"1/5 recipe";222.0;7.0;29.0;8.0;470.0
151;"Orange Miso Salmon";"Fit Men Cook";"1 fillet";268.0;4.0;34.0;12.0;239.0
152;"Green AF Salad with Spicy Dijon Vinaigrette";"Fit Men Cook";"1/5 recipe";213.0;10.0;6.0;18.0;64.0
153;"Kale Yeah Chop with Salsa Criolla Vinaigrette";"Fit Men Cook";"1/4 recipe";257.0;20.0;7.0;19.0;333.0
154;"Avocado Tzatziki Chicken Salad";"Fit Men Cook";"1/4 recipe";294.0;7.0;40.0;12.0;104.0
155;"Cilantro-Tahini Dressing";"Fit Men Cook";"2 tablespoons";93.0;3.0;2.0;9.0;13.0
156;"Tex-Mex Salad with Avocado-Lime Vinaigrette";"Fit Men Cook; Makes 5 servings";"1/5 recipe";262.0;33.0;11.0;12.0;236.0
157;"Quick Salmon Nicoise";"Fit Men Cook";"1 bowl";546.0;30.0;29.0;35.0;176.0
158;"Bulgur Veggie Medley";"Fit Men Cook";"1/6 recipe";174.0;35.0;6.0;3.0;15.0
159;"VBQ Minestrone";"Fit Men Cook";"2 cups (1/6 recipe)";262.0;43.0;12.0;4.0;126.0
160;"Chicken Zoodle Soup";"Fit Men Cook";"1/2 recipe";467.0;20.0;56.0;19.0;202.0
161;"Amazing as Pho Bowl";"Fit Men Cook";"1/5 recipe";395.0;47.0;32.0;8.0;451.0
162;"Cold Coconut Curry in a Jar";"Fit Men Cook";"1/5 recipe";467.0;17.0;39.0;27.0;459.0
163;"Southwest Black Bean Patty Cakes";"Fit Men Cook";"1 patty (1/4 recipe)";184.0;23.0;8.0;7.0;160.0
164;"Tex-Mex ""Caviar""""-Loaded Sweet Potato""";"Fit Men Cook; Liked";"1/5 recipe";279.0;40.0;12.0;9.0;59.0
165;"Tempeh and Butternut Squash Ginger Fry";"Fit Men Cook";"1/3 recipe";364.0;39.0;19.0;18.0;549.0
166;"Sweet Potato and Chickpea Abundance Bowl";"Fit Men Cook; Liked";"1 bowl (1/3 recipe)";334.0;55.0;12.0;10.0;278.0
167;"Pasta with Hearty Puttanesca Sauce";"Fit Men Cook";"1/4 recipe";363.0;65.0;12.0;7.0;304.0
168;"Red Coconut Dahl";"Fit Men Cook";"1/4 recipe";399.0;55.0;20.0;11.0;30.0
169;"Chicks 'n' Kale";"Fit Men Cook";"1/6 recipe";242.0;34.0;13.0;6.0;76.0
170;"Sriracha Mayo";"Fit Men Cook";"2 Tbsp";53.0;1.0;1.0;5.0;14.0
171;"Low Carb Jambalaya";"Fit Men Cook";"1/6 recipe";306.0;16.0;33.0;13.0;535.0
172;"Quick Orange Chicken";"Fit Men Cook";"1/6 recipe";199.0;17.0;24.0;3.0;298.0
173;"Lower-Carb Spaghetti and Meatballs";"Fit Men Cook";"1/6 recipe";248.0;16.0;20.0;13.0;368.0
174;"White Mac 'n' Cheese";"Fit Men Cook";"1/6 recipe";361.0;45.0;21.0;13.0;356.0
175;"Budget Sweet Potato Lasagna";"Fit Men Cook";"1/6 recipe";317.0;20.0;29.0;13.0;237.0
176;"Mac and Chili Bachelor Bowl";"Fit Men Cook";"1/6 recipe";419.0;38.0;41.0;12.0;302.0
177;"Bootstrap Paella-ish";"Fit Men Cook";"1/6 recipe";378.0;44.0;31.0;9.0;156.0
178;"Low Carb Shepard's Pie";"Fit Men Cook";"1/5 recipe";204.0;13.0;24.0;24.0;424.0
179;"BBQ Chicken Crust Pizza";"Fit Men Cook and Cookbook";"1/5 recipe";250.2;9.2;34.0;7.4;536.5
180;"Chicken Crust Pizza";"Fit Men Cook";"1/5 recipe";220.0;3.0;32.0;8.0;305.0
181;"Pesto Tatas";"Fit Men Cook";"1/6 recipe";170.0;25.0;3.0;7.0;28.0
182;"Sweet Potato Whip";"Fit Men Cook";"3/4 cup (1/6 recipe)";112.0;21.0;2.0;1.0;45.0
183;"Bacon-Fried Brussels Sprouts";"Fit Men Cook";"1 cup";115.0;12.0;6.0;6.0;0.0
184;"PPC";"Fit Men Cook";"1/5 recipe";225.0;38.0;7.0;6.0;29.0
185;"Loaded Herbed Cauliflower Mash";"Fit Men Cook";"2/3 cup (1/3 recipe)";80.0;9.0;7.0;3.0;206.0
186;"Avocado Potato Salad";"Fit Men Cook";"1/5 recipe";152.0;24.0;4.0;5.0;57.0
187;"Cranberry Sweet Potato Protein Mini Muffins";"Fit Men Cook";"1 muffin";48.0;7.0;1.0;2.0;0.0
188;"Indian-Inspired Couscous";"Fit Men Cook";"1/5 recipe";205.0;32.0;6.0;6.0;12.0
189;"Cheesy Curry Chips";"Fit Men Cook";"8 chips";230.0;20.0;7.0;6.0;439.0
190;"Crispy Red Potato Wedges";"Fit Men Cook";"1/6 recipe";125.0;19.0;2.0;5.0;409.0
191;"Crispy Red Potato Wedges (1/4 recipe)";"Fit Men Cook";"1/4 recipe";187.5;28.5;3.0;7.5;613.5
192;"Texas Breakfast Casserole";"Fit Men Cook App";"1/6 recipe";374.0;12.0;34.0;20.0;0.0
193;"High-Protein Breakfast Casserole";"Fit Men Cook App";"1/6 recipe";329.0;15.0;34.0;13.0;0.0
194;"Healthy Pumpkin Protein Waffles";"Fit Men Cook App";"1 waffle (1/8 recipe)";122.0;13.0;10.0;3.0;0.0
195;"Chopped Chicken Salad Wrap";"Fit Men Cook App";"1 wrap";529.0;52.0;55.0;14.0;0.0
196;"Mexican-Inspired Fried Rice";"Fit Men Cook App";"1/4 recipe";512.0;44.0;47.0;15.0;0.0
197;"Pineapple Chicken Fried Rice with Turmeric";"Fit Men Cook App";"1/4 recipe";382.0;42.0;36.0;8.0;0.0
198;"15-Minute Pineapple Pepper Chicken";"Fit Men Cook App";"1/4 recipe";213.0;13.0;27.0;5.0;0.0
